Région,Préfecture,Sous-préfecture,Nom de l'Établissement,Nombre total de personnes ,Public ou privé?,Partenaire responsable de la formation,Date de la formation,Durée de la formation (jours),Type de formation,Nombre de personnes formées,Region p-code,Prefecture p-code,Subprefecture p-code
#adm1+name,#adm2+name,#adm3+name,#loc+name,#inneed+training,#status+sector,#org+code,#date,#output+duration,#output+type,#reached+trained,#adm1+code,#adm2+code,#adm3+code
Kindia,Telimele,Telemele Ctre,Télimélé-Centre,,public,Jhpiego,,,PCI Ebola,,GIN005,GIN005005,GIN00500513
Kindia,Telimele,Thionthian,Thionthian,,public,Jhpiego,,,PCI Ebola,,GIN005,GIN005005,GIN00500514
Nzerekore,Beyla,Beyla Ctre,CSU Diakolidou,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800101
Nzerekore,Beyla,Beyla Ctre,Hopital prefectoral Beyla,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800101
Nzerekore,Beyla,Boola,CSR Boola,,public,Jhpiego,2015-04-22,,PCI Ebola,,GIN008,GIN008001,GIN00800102
Nzerekore,Beyla,Diaraguerela,CSR Diaragberela,,public,Jhpiego,2015-04-22,,PCI Ebola,,GIN008,GIN008001,GIN00800103
Nzerekore,Beyla,Diaraguerela,PS/Diaguerala,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800103
Nzerekore,Beyla,Diassodou,CSR Diassodou,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800104
Nzerekore,Beyla,Fouala,CSR Fouala,,public,Jhpiego,2015-04-22,,PCI Ebola,,GIN008,GIN008001,GIN00800105
Nzerekore,Beyla,Gbakedou,CSR Gbakedou,,public,Jhpiego,2015-04-22,,PCI Ebola,,GIN008,GIN008001,GIN00800106
Nzerekore,Beyla,Gbakedou,CSR Sobakono,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800106
Nzerekore,Beyla,Gbessoba,CSR Gbessoba,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800107
Nzerekore,Beyla,Gbessoba,PS/Gbessoba,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800107
Nzerekore,Beyla,Karala,CSR Karala,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800108
Nzerekore,Beyla,Koumandou,CSR Koumandou,,public,Jhpiego,2015-04-22,,PCI Ebola,,GIN008,GIN008001,GIN00800109
Nzerekore,Beyla,Koumandou,PS/Koumandou,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800109
Nzerekore,Beyla,Moussadou,CSR Moussadou,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800110
Nzerekore,Beyla,Nionsomoridou,CSR Nionsomoridou,,public,Jhpiego,2015-04-22,,PCI Ebola,,GIN008,GIN008001,GIN00800111
Nzerekore,Beyla,Sakourala,CSR Sokourala,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800112
Nzerekore,Beyla,Sakourala,PS/Sokourala,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800112
Nzerekore,Beyla,Samana,CSR Samana,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800113
Nzerekore,Beyla,Samana,PS/Samana,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800113
Nzerekore,Beyla,Sinko,CMC Sinko,,public,Jhpiego,2015-04-22,,PCI Ebola,,GIN008,GIN008001,GIN00800114
Nzerekore,Beyla,Sinko,CSR Sinko,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800114
Nzerekore,Beyla,Sinko,PS/Sinko,,public,Jhpiego,2015-03-15,,PCI Ebola,,GIN008,GIN008001,GIN00800114
