Type de formation,Nom de la région,P-code de la région,Nom de la préfecture,P-code de la préfecture,Nom de la sous-préfecture,P-code de la sous-préfecture,Total des établissements,Établissements formées
#output+type,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm3+name,#adm3+code,#inneed,#reached
PCI Ebola,Faranah,GIN003,Faranah,GIN003003,Songoyah,GIN00300310,1,0
PCI Ebola,Faranah,GIN003,Faranah,GIN003003,Tiro,GIN00300311,1,0
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Albadariah,GIN00300401,8,4
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Banama,GIN00300402,10,8
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Bardou,GIN00300403,8,4
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Beindou,GIN00300404,19,9
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Fermessadou,GIN00300405,15,11
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Firawa,GIN00300406,7,4
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Gbangbadou,GIN00300407,13,8
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Kissidougou Ctre,GIN00300408,14,9
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Kondiadou,GIN00300409,10,7
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Manfran,GIN00300410,9,6
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Sangardo,GIN00300411,11,6
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Yende Millimou,GIN00300412,14,8
PCI Ebola,Faranah,GIN003,Kissidougou,GIN003004,Yombiro,GIN00300413,9,6
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Balandougou,GIN00400101,2,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Bate Nafadji,GIN00400102,7,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Boula,GIN00400103,6,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Gberedou Baranama,GIN00400104,1,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Kankan Ctre,GIN00400105,8,1
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Karifamoriah,GIN00400106,3,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Koumban,GIN00400107,2,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Mamouroudou,GIN00400108,3,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Missamana,GIN00400109,3,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Moribayah,GIN00400110,1,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Sabadou Baranama,GIN00400111,3,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Tinti Oulen,GIN00400112,2,0
PCI Ebola,Kankan,GIN004,Kankan,GIN004001,Tokounou,GIN00400113,2,0
PCI Ebola,Kankan,GIN004,Kerouane,GIN004002,Banankoro,GIN00400201,3,1
PCI Ebola,Kankan,GIN004,Kerouane,GIN004002,Damaro,GIN00400202,3,1
PCI Ebola,Kankan,GIN004,Kerouane,GIN004002,Kerouane Ctre,GIN00400203,2,2
PCI Ebola,Kankan,GIN004,Kerouane,GIN004002,Komodou,GIN00400204,1,1
PCI Ebola,Kankan,GIN004,Kerouane,GIN004002,Konsankoro,GIN00400205,4,1
PCI Ebola,Kankan,GIN004,Kerouane,GIN004002,Linko,GIN00400206,2,1
