Région,Region p-code,Préfecture,Prefecture p-code,Sous-préfecture,Subprefecture p-code,Facilities
Nzerekore,GIN008,Beyla,GIN008001,Nionsomoridou,GIN00800111,1
Nzerekore,GIN008,Beyla,GIN008001,Sakourala,GIN00800112,2
Nzerekore,GIN008,Beyla,GIN008001,Samana,GIN00800113,2
Nzerekore,GIN008,Beyla,GIN008001,Sinko,GIN00800114,3
Nzerekore,GIN008,Macenta,GIN008004,,,3
Nzerekore,GIN008,Macenta,GIN008004,Balizia,GIN00800401,1
Nzerekore,GIN008,Macenta,GIN008004,Bofossou,GIN00800403,1
Nzerekore,GIN008,Macenta,GIN008004,Daro,GIN00800404,3
Nzerekore,GIN008,Macenta,GIN008004,Fassankoni,GIN00800405,1
Nzerekore,GIN008,Macenta,GIN008004,Kouankan,GIN00800406,1
Nzerekore,GIN008,Macenta,GIN008004,Koyamah,GIN00800407,3
Nzerekore,GIN008,Macenta,GIN008004,Macenta Ctre,GIN00800408,6
Nzerekore,GIN008,Macenta,GIN008004,Nzebela,GIN00800409,3
Nzerekore,GIN008,Macenta,GIN008004,Ouremai,GIN00800410,2
Nzerekore,GIN008,Macenta,GIN008004,Panziazou,GIN00800411,4
Nzerekore,GIN008,Macenta,GIN008004,Sengbedou,GIN00800412,1
Nzerekore,GIN008,Macenta,GIN008004,Seredou,GIN00800413,2
Nzerekore,GIN008,Macenta,GIN008004,Vasseredou,GIN00800414,1
Nzerekore,GIN008,Macenta,GIN008004,Watanka,GIN00800415,2
Nzerekore,GIN008,Nzerekore,GIN008005,,,97
Nzerekore,GIN008,Nzerekore,GIN008005,Bounouma,GIN00800501,4
Nzerekore,GIN008,Nzerekore,GIN008005,Gouecke,GIN00800502,5
Nzerekore,GIN008,Nzerekore,GIN008005,Kobela,GIN00800503,2
Nzerekore,GIN008,Nzerekore,GIN008005,Koropara,GIN00800504,6
Nzerekore,GIN008,Nzerekore,GIN008005,Koule,GIN00800505,6
Nzerekore,GIN008,Nzerekore,GIN008005,Nzerekore Ctre,GIN00800506,18
Nzerekore,GIN008,Nzerekore,GIN008005,Pale,GIN00800507,3
Nzerekore,GIN008,Nzerekore,GIN008005,Samoe,GIN00800508,7
Nzerekore,GIN008,Nzerekore,GIN008005,Soulouta,GIN00800509,11
Nzerekore,GIN008,Nzerekore,GIN008005,Womey,GIN00800510,6
Nzerekore,GIN008,Nzerekore,GIN008005,Yalenzou,GIN00800511,14
Nzerekore,GIN008,Yomou,GIN008006,,,5
Nzerekore,GIN008,Yomou,GIN008006,Banie,GIN00800601,1
Nzerekore,GIN008,Yomou,GIN008006,Bheeta,GIN00800602,2
Nzerekore,GIN008,Yomou,GIN008006,Bignamou,GIN00800603,1
Nzerekore,GIN008,Yomou,GIN008006,Bowe,GIN00800604,1
Nzerekore,GIN008,Yomou,GIN008006,Pela,GIN00800606,1
