Région,Region p-code,Préfecture,Prefecture p-code,Sous-préfecture,Subprefecture p-code,Facilities
#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm3+name,#adm3+code,#inneed+num
,,,,,,1
,,,,Dixinn,,1
Boke,GIN001,Boffa,GIN001001,,,1
Boke,GIN001,Boffa,GIN001001,Boffa Ctre,GIN00100101,7
Boke,GIN001,Boffa,GIN001001,Douprou,GIN00100102,4
Boke,GIN001,Boffa,GIN001001,Koba,,6
Boke,GIN001,Boffa,GIN001001,Kolia,GIN00100104,4
Boke,GIN001,Boffa,GIN001001,Lisso,GIN00100105,6
Boke,GIN001,Boffa,GIN001001,Mankountan,GIN00100106,3
Boke,GIN001,Boffa,GIN001001,Tamita,GIN00100107,6
Boke,GIN001,Boffa,GIN001001,Tougnifily,GIN00100108,3
Boke,GIN001,Boke,GIN001002,,,5
Boke,GIN001,Boke,GIN001002,Bintimodia,GIN00100201,1
Boke,GIN001,Boke,GIN001002,Boke Ctre,GIN00100202,2
Boke,GIN001,Boke,GIN001002,Dabiss,GIN00100203,1
Boke,GIN001,Boke,GIN001002,Kamsar,GIN00100204,4
Boke,GIN001,Boke,GIN001002,Kanfarande,GIN00100205,1
Boke,GIN001,Boke,GIN001002,Kolaboui,GIN00100206,2
Boke,GIN001,Boke,GIN001002,Malapouya,GIN00100207,1
Boke,GIN001,Boke,GIN001002,Sangaredi,GIN00100208,2
Boke,GIN001,Boke,GIN001002,Sansale,GIN00100209,1
Boke,GIN001,Boke,GIN001002,Tanene,GIN00100210,1
Boke,GIN001,Fria,GIN001005,,,2
Boke,GIN001,Fria,GIN001005,Baguinet,GIN00100501,1
Boke,GIN001,Fria,GIN001005,Banguigny,GIN00100502,1
Boke,GIN001,Fria,GIN001005,Fria Ctre,GIN00100503,3
Boke,GIN001,Fria,GIN001005,Tormelin,GIN00100504,1
Conakry,GIN002,Conakry,GIN002001,,,79
Conakry,GIN002,Conakry,GIN002001,Dixinn,GIN00200101,29
Conakry,GIN002,Conakry,GIN002001,Kaloum,GIN00200102,20
Conakry,GIN002,Conakry,GIN002001,Matam,GIN00200103,16
Conakry,GIN002,Conakry,GIN002001,Matoto,GIN00200104,55
Conakry,GIN002,Conakry,GIN002001,Ratoma,GIN00200105,109
Faranah,GIN003,Kissidougou,GIN003004,,,1
Faranah,GIN003,Kissidougou,GIN003004,Albadariah,GIN00300401,2
Faranah,GIN003,Kissidougou,GIN003004,Banama,GIN00300402,2
Faranah,GIN003,Kissidougou,GIN003004,Bardou,GIN00300403,2
Faranah,GIN003,Kissidougou,GIN003004,Beindou,GIN00300404,2
Faranah,GIN003,Kissidougou,GIN003004,Fermessadou,GIN00300405,2
Faranah,GIN003,Kissidougou,GIN003004,Firawa,GIN00300406,2
Faranah,GIN003,Kissidougou,GIN003004,Gbangbadou,GIN00300407,1
Faranah,GIN003,Kissidougou,GIN003004,Kissidougou Ctre,GIN00300408,7
Faranah,GIN003,Kissidougou,GIN003004,Kondiadou,GIN00300409,2
Faranah,GIN003,Kissidougou,GIN003004,Manfran,GIN00300410,2
Faranah,GIN003,Kissidougou,GIN003004,Sangardo,GIN00300411,2
Faranah,GIN003,Kissidougou,GIN003004,Yende Millimou,GIN00300412,2
Faranah,GIN003,Kissidougou,GIN003004,Yombiro,GIN00300413,2
Kankan,GIN004,Kankan,GIN004001,Kankan Ctre,GIN00400105,1
Kankan,GIN004,Kerouane,GIN004002,,,3
Kankan,GIN004,Kerouane,GIN004002,Banankoro,GIN00400201,1
Kankan,GIN004,Kerouane,GIN004002,Damaro,GIN00400202,1
Kankan,GIN004,Kerouane,GIN004002,Kerouane Ctre,GIN00400203,2
Kankan,GIN004,Kerouane,GIN004002,Komodou,GIN00400204,1
Kankan,GIN004,Kerouane,GIN004002,Konsankoro,GIN00400205,1
Kankan,GIN004,Kerouane,GIN004002,Linko,GIN00400206,1
Kankan,GIN004,Kerouane,GIN004002,Sibiribaro,GIN00400207,1
Kankan,GIN004,Kerouane,GIN004002,Soromaya,GIN00400208,4
Kindia,GIN005,Coyah,GIN005001,,,5
Kindia,GIN005,Coyah,GIN005001,Coyah Ctre,GIN00500101,5
Kindia,GIN005,Coyah,GIN005001,Kouria,GIN00500102,11
Kindia,GIN005,Coyah,GIN005001,Maneah,GIN00500103,1
Kindia,GIN005,Coyah,GIN005001,Wonkifong,GIN00500104,28
Kindia,GIN005,Dubreka,GIN005002,,,8
Kindia,GIN005,Dubreka,GIN005002,Badi,GIN00500201,3
Kindia,GIN005,Dubreka,GIN005002,Bady,,3
Kindia,GIN005,Dubreka,GIN005002,Dubreka Ctre,GIN00500202,16
Kindia,GIN005,Dubreka,GIN005002,Falessade,GIN00500203,4
Kindia,GIN005,Dubreka,GIN005002,Khorira,GIN00500204,7
Kindia,GIN005,Dubreka,GIN005002,Ouassou,GIN00500205,13
Kindia,GIN005,Dubreka,GIN005002,Tanene,GIN00500208,11
Kindia,GIN005,Dubreka,GIN005002,Tondon,GIN00500207,7
Kindia,GIN005,Forecariah,GIN005003,,,5
Kindia,GIN005,Forecariah,GIN005003,Allassoyah,GIN00500301,4
Kindia,GIN005,Forecariah,GIN005003,Benty,GIN00500302,9
Kindia,GIN005,Forecariah,GIN005003,Farmoriah,GIN00500303,7
Kindia,GIN005,Forecariah,GIN005003,Forecariah Ctre,GIN00500304,5
Kindia,GIN005,Forecariah,GIN005003,Kaback,GIN00500305,4
Kindia,GIN005,Forecariah,GIN005003,Kakossa,GIN00500306,4
Kindia,GIN005,Forecariah,GIN005003,Kaliah,GIN00500307,4
Kindia,GIN005,Forecariah,GIN005003,Maferinya,GIN00500308,10
Kindia,GIN005,Forecariah,GIN005003,Moussayah,GIN00500309,8
Kindia,GIN005,Forecariah,GIN005003,Sikhourou,GIN00500310,6
Kindia,GIN005,Kindia,GIN005004,,,1
Kindia,GIN005,Kindia,GIN005004,Bangouya,GIN00500401,2
Kindia,GIN005,Kindia,GIN005004,Damakania,GIN00500402,2
Kindia,GIN005,Kindia,GIN005004,Friguiagbe,GIN00500403,2
Kindia,GIN005,Kindia,GIN005004,Kindia Ctre,GIN00500404,9
Kindia,GIN005,Kindia,GIN005004,Kolente,GIN00500405,2
Kindia,GIN005,Kindia,GIN005004,Madina oula,GIN00500406,2
Kindia,GIN005,Kindia,GIN005004,Mambia,GIN00500407,2
Kindia,GIN005,Kindia,GIN005004,Molota,GIN00500408,2
Kindia,GIN005,Kindia,GIN005004,Samaya,GIN00500409,2
Kindia,GIN005,Kindia,GIN005004,Sougueta,GIN00500410,2
Kindia,GIN005,Telimele,GIN005005,Bourouwal,GIN00500501,1
Kindia,GIN005,Telimele,GIN005005,Daramagnaky,GIN00500502,1
Kindia,GIN005,Telimele,GIN005005,Gougoudje,GIN00500503,1
Kindia,GIN005,Telimele,GIN005005,Koba,GIN00500504,1
Kindia,GIN005,Telimele,GIN005005,Kollet,GIN00500505,1
Kindia,GIN005,Telimele,GIN005005,Konsotami,GIN00500506,1
Kindia,GIN005,Telimele,GIN005005,Missira,GIN00500507,1
Kindia,GIN005,Telimele,GIN005005,Santou,GIN00500508,1
Kindia,GIN005,Telimele,GIN005005,Sarekali,GIN00500509,1
Kindia,GIN005,Telimele,GIN005005,Sinta,GIN00500510,1
Kindia,GIN005,Telimele,GIN005005,Sogolon,GIN00500511,1
Kindia,GIN005,Telimele,GIN005005,Tarihoye,GIN00500512,1
Kindia,GIN005,Telimele,GIN005005,Telemele Ctre,GIN00500513,2
Kindia,GIN005,Telimele,GIN005005,Thionthian,GIN00500514,1
Labe,GIN006,Labe,GIN006002,,,1
Labe,GIN006,Labe,GIN006002,Dalein,GIN00600201,4
Labe,GIN006,Labe,GIN006002,Daralabe,GIN00600202,5
Labe,GIN006,Labe,GIN006002,Diari,GIN00600203,5
Labe,GIN006,Labe,GIN006002,Dionfo,GIN00600204,4
Labe,GIN006,Labe,GIN006002,Garambe,GIN00600205,4
Labe,GIN006,Labe,GIN006002,Hafia,GIN00600206,5
Labe,GIN006,Labe,GIN006002,Kaalan,GIN00600207,4
Labe,GIN006,Labe,GIN006002,Kouramangui,GIN00600208,2
Labe,GIN006,Labe,GIN006002,Labe Ctre,GIN00600209,15
Labe,GIN006,Labe,GIN006002,Noussy,GIN00600210,3
Labe,GIN006,Labe,GIN006002,Popodara,GIN00600211,8
Labe,GIN006,Labe,GIN006002,Sannou,GIN00600212,4
Labe,GIN006,Labe,GIN006002,Tountourou,GIN00600213,4
Mamou,GIN007,Mamou,GIN007002,,,1
Nzerekore,GIN008,Beyla,GIN008001,Beyla Ctre,GIN00800101,2
Nzerekore,GIN008,Beyla,GIN008001,Boola,GIN00800102,1
Nzerekore,GIN008,Beyla,GIN008001,Diaraguerela,GIN00800103,2
Nzerekore,GIN008,Beyla,GIN008001,Diassodou,GIN00800104,1
Nzerekore,GIN008,Beyla,GIN008001,Fouala,GIN00800105,1
Nzerekore,GIN008,Beyla,GIN008001,Gbakedou,GIN00800106,2
Nzerekore,GIN008,Beyla,GIN008001,Gbessoba,GIN00800107,2
Nzerekore,GIN008,Beyla,GIN008001,Karala,GIN00800108,1
Nzerekore,GIN008,Beyla,GIN008001,Koumandou,GIN00800109,2
Nzerekore,GIN008,Beyla,GIN008001,Moussadou,GIN00800110,1
