Région,Region p-code,Préfecture,Prefecture p-code,Facilities
#adm1+name,#adm1+code,#adm2+name,#adm2+code,#inneed+num
,,,,2
Boke,GIN001,Boffa,GIN001001,40
Boke,GIN001,Boke,GIN001002,21
Boke,GIN001,Fria,GIN001005,8
Conakry,GIN002,Conakry,GIN002001,308
Faranah,GIN003,Kissidougou,GIN003004,31
Kankan,GIN004,Kankan,GIN004001,1
Kankan,GIN004,Kerouane,GIN004002,15
Kindia,GIN005,Coyah,GIN005001,50
Kindia,GIN005,Dubreka,GIN005002,72
Kindia,GIN005,Forecariah,GIN005003,66
Kindia,GIN005,Kindia,GIN005004,28
Kindia,GIN005,Telimele,GIN005005,15
Labe,GIN006,Labe,GIN006002,68
Mamou,GIN007,Mamou,GIN007002,1
Nzerekore,GIN008,Beyla,GIN008001,23
Nzerekore,GIN008,Macenta,GIN008004,34
Nzerekore,GIN008,Nzerekore,GIN008005,179
Nzerekore,GIN008,Yomou,GIN008006,11
