Subprefecture name,Subprefecture p-code,Prefecture name,Prefecture p-code,Region name,Region p-code
Diassodou,GIN00800104,Beyla,GIN008001,Nzerekore,GIN008
Diatifere,GIN00300203,Dinguiraye,GIN003002,Faranah,GIN003
Diecke,GIN00800605,Yomou,GIN008006,Nzerekore,GIN008
Dinguiraye Ctre,GIN00300204,Dinguiraye,GIN003002,Faranah,GIN003
Dionfo,GIN00600204,Labe,GIN006002,Labe,GIN006
Diontou,GIN00600302,Lelouma,GIN006003,Labe,GIN006
Ditinn,GIN00700103,Dalaba,GIN007001,Mamou,GIN007
Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004
Donghol Sigon,GIN00600402,Mali,GIN006004,Labe,GIN006
Donghol Touma,GIN00700303,Pita,GIN007003,Mamou,GIN007
Douako,GIN00400306,Kouroussa,GIN004003,Kankan,GIN004
Dougountouny,GIN00600403,Mali,GIN006004,Labe,GIN006
Dounet,GIN00700202,Mamou,GIN007002,Mamou,GIN007
Douprou,GIN00100102,Boffa,GIN001001,Boke,GIN001
Doura,GIN00400307,Kouroussa,GIN004003,Kankan,GIN004
Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005
Fafaya,GIN00600101,Koubia,GIN006001,Labe,GIN006
Falessade,GIN00500203,Dubreka,GIN005002,Kindia,GIN005
Gberedou Baranama,GIN00400104,Kankan,GIN004001,Kankan,GIN004
Fangamadou,GIN00800202,Gueckedou,GIN008002,Nzerekore,GIN008
Faralako,GIN00400403,Mandiana,GIN004004,Kankan,GIN004
Faranah Ctre,GIN00300303,Faranah,GIN003003,Faranah,GIN003
Farmoriah,GIN00500303,Forecariah,GIN005003,Kindia,GIN005
Fassankoni,GIN00800405,Macenta,GIN008004,Nzerekore,GIN008
Fatako,GIN00600501,Tougue,GIN006005,Labe,GIN006
Gayah,GIN00600405,Mali,GIN006004,Labe,GIN006
Fello Koundoua,GIN00600502,Tougue,GIN006005,Labe,GIN006
Fermessadou,GIN00300405,Kissidougou,GIN003004,Faranah,GIN003
Firawa,GIN00300406,Kissidougou,GIN003004,Faranah,GIN003
Forecariah Ctre,GIN00500304,Forecariah,GIN005003,Kindia,GIN005
Fouala,GIN00800105,Beyla,GIN008001,Nzerekore,GIN008
Fougou,GIN00600404,Mali,GIN006004,Labe,GIN006
Gbakedou,GIN00800106,Beyla,GIN008001,Nzerekore,GIN008
Gbangbadou,GIN00300407,Kissidougou,GIN003004,Faranah,GIN003
Foulamory,GIN00100301,Gaoual,GIN001003,Boke,GIN001
Foumbadou,GIN00800302,Lola,GIN008003,Nzerekore,GIN008
Franwalia,GIN00400503,Siguiri,GIN004005,Kankan,GIN004
Fria Ctre,GIN00100503,Fria,GIN001005,Boke,GIN001
Friguiagbe,GIN00500403,Kindia,GIN005004,Kindia,GIN005
Gadha Woundou,GIN00600102,Koubia,GIN006001,Labe,GIN006
Gagnakaly,GIN00300205,Dinguiraye,GIN003002,Faranah,GIN003
Gama Berema,GIN00800303,Lola,GIN008003,Nzerekore,GIN008
Gaoual Ctre,GIN00100302,Gaoual,GIN001003,Boke,GIN001
Gbessoba,GIN00800107,Beyla,GIN008001,Nzerekore,GIN008
Gnaleah,GIN00300304,Faranah,GIN003003,Faranah,GIN003
Gongoret,GIN00700304,Pita,GIN007003,Mamou,GIN007
Gongoret,GIN00700203,Mamou,GIN007002,Mamou,GIN007
Gouecke,GIN00800502,Nzerekore,GIN008005,Nzerekore,GIN008
Heremakono,GIN00300305,Faranah,GIN003003,Faranah,GIN003
Gueasso,GIN00800304,Lola,GIN008003,Nzerekore,GIN008
Gueckedou Ctre,GIN00800203,Gueckedou,GIN008002,Nzerekore,GIN008
Guendembou,GIN00800204,Gueckedou,GIN008002,Nzerekore,GIN008
Guinguan,GIN00100401,Koundara,GIN001004,Boke,GIN001
Hafia,GIN00600206,Labe,GIN006002,Labe,GIN006
Herico,GIN00600303,Lelouma,GIN006003,Labe,GIN006
Hidayatou,GIN00600406,Mali,GIN006004,Labe,GIN006
Kaala,GIN00700104,Dalaba,GIN007001,Mamou,GIN007
Kaalan,GIN00600207,Labe,GIN006002,Labe,GIN006
Kaback,GIN00500305,Forecariah,GIN005003,Kindia,GIN005
Kakony,GIN00100303,Gaoual,GIN001003,Boke,GIN001
Kankama,GIN00300106,Dabola,GIN003001,Faranah,GIN003
Kankan Ctre,GIN00400105,Kankan,GIN004001,Kankan,GIN004
Kaliah,GIN00500307,Forecariah,GIN005003,Kindia,GIN005
Kalinko,GIN00300206,Dinguiraye,GIN003002,Faranah,GIN003
Kamabi,GIN00100402,Koundara,GIN001004,Boke,GIN001
Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001
Kankalabe,GIN00700105,Dalaba,GIN007001,Mamou,GIN007
Kansangui,GIN00600503,Tougue,GIN006005,Labe,GIN006
Kantoumanina,GIN00400404,Mandiana,GIN004004,Kankan,GIN004
Karala,GIN00800108,Beyla,GIN008001,Nzerekore,GIN008
Karifamoriah,GIN00400106,Kankan,GIN004001,Kankan,GIN004
Kassadou,GIN00800205,Gueckedou,GIN008002,Nzerekore,GIN008
Kebali,GIN00700106,Dalaba,GIN007001,Mamou,GIN007
Kegneko,GIN00700204,Mamou,GIN007002,Mamou,GIN007
Kerouane Ctre,GIN00400203,Kerouane,GIN004002,Kankan,GIN004
Khorira,GIN00500204,Dubreka,GIN005002,Kindia,GIN005
