Région,Préfecture,Sous-préfecture,Nom de l'Établissement,Nombre total de personnes ,Public ou privé?,Partenaire responsable de la formation,Date de la formation,Durée de la formation (jours),Type de formation,Nombre de personnes formées
#adm1+name,#adm2+name,#adm3+name,#loc+name,#inneed+training,#status+sector,#org+code,#date,#output+duration,#output+type,#reached+trained
Faranah,Kissidougou,Kissidougou Ctre,CSU Madina,,public,Jhpiego,2015-04-20,,PCI Ebola,
Faranah,Kissidougou,Kissidougou Ctre,CSU Saraman ,,public,Jhpiego,2015-01-22,,PCI Ebola,
Faranah,Kissidougou,Kissidougou Ctre,CSU limanya ,,public,Jhpiego,2015-05-18,,PCI Ebola,
Faranah,Kissidougou,Kissidougou Ctre,Hopital prefectoral Kissidougou,,public,Jhpiego,2015-05-22,,PCI Ebola,
Faranah,Kissidougou,Kissidougou Ctre,PS/Limanya,,public,Jhpiego,2015-01-30,,PCI Ebola,
Faranah,Kissidougou,Kondiadou,CSR Kondiadou,,public,Jhpiego,2015-05-22,,PCI Ebola,
Faranah,Kissidougou,Kondiadou,PS/Kondiadou,,public,Jhpiego,2015-02-07,,PCI Ebola,
Faranah,Kissidougou,Manfran,CSR Manfran,,public,Jhpiego,2015-05-22,,PCI Ebola,
Faranah,Kissidougou,Manfran,PS/Manfran,,public,Jhpiego,2015-02-13,,PCI Ebola,
Faranah,Kissidougou,Sangardo,CSR Sangardo,,public,Jhpiego,2015-05-22,,PCI Ebola,
Faranah,Kissidougou,Sangardo,PS/Sangardo,,public,Jhpiego,2015-02-12,,PCI Ebola,
Faranah,Kissidougou,Yende Millimou,CSR Yende,,public,Jhpiego,2015-05-22,,PCI Ebola,
Faranah,Kissidougou,Yende Millimou,PS/Yende,,public,Jhpiego,2015-02-12,,PCI Ebola,
Faranah,Kissidougou,Yombiro,CSR Yombiro,,public,Jhpiego,2015-05-22,,PCI Ebola,
Faranah,Kissidougou,Yombiro,PS/Yombiro,,public,Jhpiego,2015-02-05,,PCI Ebola,
Kindia,Forecariah,,CSR Bassia,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,,CSR Bokaria,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,,PS/Bassia,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,,PS/Bokaria,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,,Poste Frontaliere Blangban,,public,Jhpiego,2015-03-19,,PCI Ebola,
Kindia,Forecariah,Benty,CSR Benty,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Benty,PS/Benty,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Farmoriah,CSR Farmoriah,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Farmoriah,Infirmerie de Camp de Farmoriah,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Farmoriah,PS/Farmoriah,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Forecariah Ctre,CSU Forecariah,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Forecariah Ctre,Hopital prefectoral Forecariah,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Forecariah Ctre,Infirmerie de Camp de Forecariah,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Kaback,CSR Kaback,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Kakossa,CSR Kakossa,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Kakossa,PS/ kakossa,,public,Jhpiego,2015-01-13,,PCI Ebola,
Kindia,Forecariah,Maferinya,CNFRSR Maferinya,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Maferinya,CSR Maferinya,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Maferinya,PS/Maferinya,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Moussayah,CSR MoussayaH,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Moussayah,PS/Moussayah,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Sikhourou,CSR Sikhourou,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Forecariah,Sikhourou,PS/Sikhourou,,public,Jhpiego,2015-03-28,,PCI Ebola,
Kindia,Kindia,,CSR Kenende,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Bangouya,CSR Bangouya,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Bangouya,PS/Bangouya,,public,Jhpiego,2015-05-24,,PCI Ebola,
