Original string,Corrected string,HXL column tag
#x_pattern,#x_substitution,#x_tag
Labe,Labé,#adm2
macenta,Macenta,#adm2
Nzerekore,N'Zérékoré,#adm2
Nzérékoré,N'Zérékoré,#adm2
Boke,Boké,#adm2


